item_id,item_name,purchase_count,product_text
122,Easy Mix Roast Masala-35g,323,Product name: Easy Mix Roast Masala-35g.
123,Bashu. Toilet Tissue (White),321,Product name: Bashu. Toilet Tissue (White).
124,Knorr Thai Soup- 28g,318,Product name: Knorr Thai Soup- 28g.
125,Aarong Pasturized Liquid Milk-1Ltr Reg.,314,Product name: Aarong Pasturized Liquid Milk-1Ltr Reg..
126,Kakrol(kg),313,Product name: Kakrol(kg).
127,Bashundhara F Soyabean Oil-5L,313,Product name: Bashundhara F Soyabean Oil-5L.
128,Funtastic Ore Cream Biscuit-43gm,313,Product name: Funtastic Ore Cream Biscuit-43gm.
129,Sprite-2.25Lt(Pet),309,Product name: Sprite-2.25Lt(Pet).
130,Teer Soyabean Oil-1Ltr,309,Product name: Teer Soyabean Oil-1Ltr.
131,Bele Fish Small,308,Product name: Bele Fish Small.
132,Cauliflower(B)-Pc,306,Product name: Cauliflower(B)-Pc.
133,Mr.Cookie- 39gm Small,305,Product name: Mr.Cookie- 39gm Small.
134,Mini Burger Bread-4pcs 160gm,303,Product name: Mini Burger Bread-4pcs 160gm.
135,Bashun Paper Towel - 250Pcs,303,Product name: Bashun Paper Towel - 250Pcs.
136,KurKure Naughty Tomato 37gm,302,Product name: KurKure Naughty Tomato 37gm.
137,Tengra Fish,300,Product name: Tengra Fish.
138,Roja Deshi Classic Paratha-1300gm,296,Product name: Roja Deshi Classic Paratha-1300gm.
139,Fresh Salt Premium-1kg,295,Product name: Fresh Salt Premium-1kg.
140,Bounce Choco Cream Biscuits-32gm,295,Product name: Bounce Choco Cream Biscuits-32gm.
141,KurKure Masala Manch 37gm,294,Product name: KurKure Masala Manch 37gm.
142,Bomby Chilli-5Pcs,292,Product name: Bomby Chilli-5Pcs.
143,Calender Pineapple,292,Product name: Calender Pineapple.
144,Prince Cream Bread Bon,292,Product name: Prince Cream Bread Bon.
145,Poa Fish Small-(Deshi),291,Product name: Poa Fish Small-(Deshi).
146,UHT Chocolate Milk-200ml,291,Product name: UHT Chocolate Milk-200ml.
147,Knorr Soup-24gm,290,Product name: Knorr Soup-24gm.
148,Puti Fish (Deshi) (HB),288,Product name: Puti Fish (Deshi) (HB).
149,Teer Premium Lodized Salt- 1kg,286,Product name: Teer Premium Lodized Salt- 1kg.
150,Orange (China) Net-kg,286,Product name: Orange (China) Net-kg.
151,Maggi Noodles Masala Taste-496g,286,Product name: Maggi Noodles Masala Taste-496g.
152,Chicken (B-Skin),286,Product name: Chicken (B-Skin).
153,Queens Butter Bun- 100g,284,Product name: Queens Butter Bun- 100g.
154,White Kazu Badam(Special)-100gm,282,Product name: White Kazu Badam(Special)-100gm.
155,KurKure Spicy Chicken 37gm,282,Product name: KurKure Spicy Chicken 37gm.
156,KurKure Chili Chatka 37gm,281,Product name: KurKure Chili Chatka 37gm.
157,Mango Rupali (Special)-kg,280,Product name: Mango Rupali (Special)-kg.
158,Boot Pulse(Broken)1Kg,280,Product name: Boot Pulse(Broken)1Kg.
159,Confidence Salt-1Kg,279,Product name: Confidence Salt-1Kg.
160,Cocola Champion Biscuits-65g Choco,278,Product name: Cocola Champion Biscuits-65g Choco.
161,Hilsha Fish-Medium-Pcs,278,Product name: Hilsha Fish-Medium-Pcs.
162,Cumin-200gm,275,Product name: Cumin-200gm.
163,R.Spices(Turmeric)200gm,275,Product name: R.Spices(Turmeric)200gm.
164,Chira-500g,274,Product name: Chira-500g.
165,Black Pepper(Chili)-50g,274,Product name: Black Pepper(Chili)-50g.
166,Radhuni Spices (Corinder)-100gm,271,Product name: Radhuni Spices (Corinder)-100gm.
167,China Stell Majuni - 4 pcs set (4/23),271,Product name: China Stell Majuni - 4 pcs set (4/23).
168,R.Spices(Chilli)-100g,271,Product name: R.Spices(Chilli)-100g.
169,Queens Egg Bread- 125g,271,Product name: Queens Egg Bread- 125g.
170,Banana Green Small-kg,269,Product name: Banana Green Small-kg.
171,Rupchanda(Small) (THR),268,Product name: Rupchanda(Small) (THR).
172,Onion LC New,267,Product name: Onion LC New.
173,Magur Fish (THR),267,Product name: Magur Fish (THR).
174,Prince Tiffin Bon,264,Product name: Prince Tiffin Bon.
175,Korolla(Big)-kg,263,Product name: Korolla(Big)-kg.
176,Rupchada Chinigura Rice 1kg,261,Product name: Rupchada Chinigura Rice 1kg.
177,Radhuni Chilli Powder -200gm,260,Product name: Radhuni Chilli Powder -200gm.
178,Coca Cola-600ml(Pet),260,Product name: Coca Cola-600ml(Pet).
179,Doodles Stick Noodles-300gm,258,Product name: Doodles Stick Noodles-300gm.
180,CBL Munchee Cream Chocolate Wafer-200g,255,Product name: CBL Munchee Cream Chocolate Wafer-200g.
181,Prince Dragon Egg Noodles - 300gm,255,Product name: Prince Dragon Egg Noodles - 300gm.
182,Lemon(Colombo)-Pc,254,Product name: Lemon(Colombo)-Pc.
183,Radhuni Garam Masala-40gm,254,Product name: Radhuni Garam Masala-40gm.
184,Clove Lobongo-50g,254,Product name: Clove Lobongo-50g.
185,Prince Fresh Eggs Red (12Pcs Box),253,Product name: Prince Fresh Eggs Red (12Pcs Box).
186,Sammam Fruits -Kg,253,Product name: Sammam Fruits -Kg.
187,Bacha Boot Pulse 1Kg,252,Product name: Bacha Boot Pulse 1Kg.
188,Prince Sour Curd-1kg,251,Product name: Prince Sour Curd-1kg.
189,Prince Coconut-(pcs),251,Product name: Prince Coconut-(pcs).
190,Fresh Paper Napkin 100pcs,251,Product name: Fresh Paper Napkin 100pcs.
191,Thai Guava,249,Product name: Thai Guava.
192,Fresh Soyabean Oil-1Lt.,247,Product name: Fresh Soyabean Oil-1Lt..
193,Marks Cookies & Cream Flavour - 200ml,247,Product name: Marks Cookies & Cream Flavour - 200ml.
194,Hilsha Fish(Small)-Pcs(Sajah),247,Product name: Hilsha Fish(Small)-Pcs(Sajah).
195,Sprite-1.25 Lt(Pet),246,Product name: Sprite-1.25 Lt(Pet).
196,Rin Advanced-500gm,246,Product name: Rin Advanced-500gm.
197,Pepsodent Gremichek+ Toothpaste-100gm,245,Product name: Pepsodent Gremichek+ Toothpaste-100gm.
198,Maggi Saad -E -Magic S Mix-48g,245,Product name: Maggi Saad -E -Magic S Mix-48g.
199,Jafran,243,Product name: Jafran.
200,Mirzapore Best Leaf Tea-400g,243,Product name: Mirzapore Best Leaf Tea-400g.
201,Rupchanda Soyabean-5Ltr,243,Product name: Rupchanda Soyabean-5Ltr.
202,Diploma Ins Milk Powder-1kg,242,Product name: Diploma Ins Milk Powder-1kg.
203,R.Spices(Turmaric)-100g,242,Product name: R.Spices(Turmaric)-100g.
204,Maggi 2min Masala-248g (Jumbo),241,Product name: Maggi 2min Masala-248g (Jumbo).
205,Rin Advanced-2kg,241,Product name: Rin Advanced-2kg.
206,Potato Bogura-1kg,241,Product name: Potato Bogura-1kg.
207,P. Chicken Breast,240,Product name: P. Chicken Breast.
208,Arla Dano Daily Pushti-200gm Pack,239,Product name: Arla Dano Daily Pushti-200gm Pack.
209,Bas. Kitchen Towels 1Roll,238,Product name: Bas. Kitchen Towels 1Roll.
210,Aarong Pasturized FC Milk 1000ml,238,Product name: Aarong Pasturized FC Milk 1000ml.
211,Rupchanda Soyabean-2Lt-PET,238,Product name: Rupchanda Soyabean-2Lt-PET.
212,Harpoon Toilet Cleaner- 750ml,236,Product name: Harpoon Toilet Cleaner- 750ml.
213,Starship Chocolate Milk-200ml,235,Product name: Starship Chocolate Milk-200ml.
214,Tomato Sour Deshi-B (kg),234,Product name: Tomato Sour Deshi-B (kg).
215,Shole Fish Big (THR),234,Product name: Shole Fish Big (THR).
216,Harpic All in one Powder-400gm,234,Product name: Harpic All in one Powder-400gm.
217,Potato Jam,233,Product name: Potato Jam.
218,Bashun Paper Towel 1Ply- 250Pcs,233,Product name: Bashun Paper Towel 1Ply- 250Pcs.
219,Mug Pulse (Sona)-500gm,233,Product name: Mug Pulse (Sona)-500gm.
220,Orange (Sa) Kg,232,Product name: Orange (Sa) Kg.
221,Prince Cone Mehedi,232,Product name: Prince Cone Mehedi.
222,Sun Chips Mix Masala-35gm,230,Product name: Sun Chips Mix Masala-35gm.
223,Black Berry (Kalo Jam),229,Product name: Black Berry (Kalo Jam).
224,Marks Belgian Chocolate Flavour - 200ml,228,Product name: Marks Belgian Chocolate Flavour - 200ml.
225,Ruchi Chanachur Hot-150gm,227,Product name: Ruchi Chanachur Hot-150gm.
226,Starship Cond. Milk 397g,226,Product name: Starship Cond. Milk 397g.
227,Prince Special Chanachur-150gm,225,Product name: Prince Special Chanachur-150gm.
228,Fresh Fun Fill (Chocolate) Biscuits-44g,224,Product name: Fresh Fun Fill (Chocolate) Biscuits-44g.
229,Maggi Noodles Masala Blast-504g 8 Pack,224,Product name: Maggi Noodles Masala Blast-504g 8 Pack.
230,Potato Sweet-(kg),222,Product name: Potato Sweet-(kg).
231,Mixed Vegetable (Kg),221,Product name: Mixed Vegetable (Kg).
232,Eye Of Arum(Tall) (Kachurmukhi)-kg,221,Product name: Eye Of Arum(Tall) (Kachurmukhi)-kg.
233,Mirzapore Best Leaf-200gm,221,Product name: Mirzapore Best Leaf-200gm.
234,First Choice-100gm,220,Product name: First Choice-100gm.
235,Alu Bukhra-100g,220,Product name: Alu Bukhra-100g.
236,Custard Bread- 275g,220,Product name: Custard Bread- 275g.
237,Capsicum Red/Yellow(kg),220,Product name: Capsicum Red/Yellow(kg).
238,Milk Vita Butter-200g,219,Product name: Milk Vita Butter-200g.
239,Energy Plus Biscuit - 62gm,218,Product name: Energy Plus Biscuit - 62gm.
240,Kewra / Rose Water,218,Product name: Kewra / Rose Water.
241,White Kazu Badam-50g,218,Product name: White Kazu Badam-50g.
242,Mango Himsagor-kg,217,Product name: Mango Himsagor-kg.
243,Bele Fish (Big)-(MNK),217,Product name: Bele Fish (Big)-(MNK).
244,Poppers Corn-Coco Chips-25gm,217,Product name: Poppers Corn-Coco Chips-25gm.
245,Sensitive Ex Pepsodent Toothpaste-80g,216,Product name: Sensitive Ex Pepsodent Toothpaste-80g.
246,Maggi Masala Noodles 12Pcs-744g,216,Product name: Maggi Masala Noodles 12Pcs-744g.
247,G H. Premium Deshi Paratha-1300gm,215,Product name: G H. Premium Deshi Paratha-1300gm.
248,China PVC Ball (5/23),215,Product name: China PVC Ball (5/23).
249,Sagu-250g,215,Product name: Sagu-250g.
250,Belleame Choco Little Biscuit-45gm,215,Product name: Belleame Choco Little Biscuit-45gm.
251,Motor Vaja-15g,215,Product name: Motor Vaja-15g.
252,Prince Plain Cake(B),214,Product name: Prince Plain Cake(B).
253,Good Life Mozzarella Cheese-200gm,214,Product name: Good Life Mozzarella Cheese-200gm.
254,Teer Suji 500gm,214,Product name: Teer Suji 500gm.
255,Piali Fish(Pachmishali),214,Product name: Piali Fish(Pachmishali).
256,Prince Bread-800g (Special),213,Product name: Prince Bread-800g (Special).
257,Amra(kg),213,Product name: Amra(kg).
258,China Hair Clip-(5/23),213,Product name: China Hair Clip-(5/23).
259,Cumin-100g,212,Product name: Cumin-100g.
260,Raisin Sesame Bread- 320g,212,Product name: Raisin Sesame Bread- 320g.
261,Fresh Atta-2kg,208,Product name: Fresh Atta-2kg.
262,Marks FCMP-500gm(F. Pack),208,Product name: Marks FCMP-500gm(F. Pack).
263,Sun Chips Tomato Tango 38g,208,Product name: Sun Chips Tomato Tango 38g.
264,Mango Himsagor (Special)-kg,206,Product name: Mango Himsagor (Special)-kg.
265,Fresh Hand Towel- 250Pcs,206,Product name: Fresh Hand Towel- 250Pcs.
266,Panch Foron-100g,206,Product name: Panch Foron-100g.
267,Radhuni Panchforon-50g,205,Product name: Radhuni Panchforon-50g.
268,Meant Leaf (Pudina Leaf)- Pc,205,Product name: Meant Leaf (Pudina Leaf)- Pc.
269,Olympic Energy Plus Malai Bis-45gm,204,Product name: Olympic Energy Plus Malai Bis-45gm.
270,Teer Masur Dal 1kg,204,Product name: Teer Masur Dal 1kg.
271,Chicken Deshi Cock (Live),203,Product name: Chicken Deshi Cock (Live).
272,Sajna(kg),202,Product name: Sajna(kg).
273,Bath Sponge (Dhundul)-kg,202,Product name: Bath Sponge (Dhundul)-kg.
274,Mango Langra,201,Product name: Mango Langra.
275,Barley For Eating-200gm,199,Product name: Barley For Eating-200gm.
276,Vaseline Mosquito Defence Lotion-100ml,199,Product name: Vaseline Mosquito Defence Lotion-100ml.
277,Belleame Cremo Biscuit- 90g,198,Product name: Belleame Cremo Biscuit- 90g.
278,Yum Muffin Cake,198,Product name: Yum Muffin Cake.
279,Jodi Chicken Sausage-300g,198,Product name: Jodi Chicken Sausage-300g.
280,Prince Ovaltin Cake(B),197,Product name: Prince Ovaltin Cake(B).
281,Prince Bread-800g (Big),196,Product name: Prince Bread-800g (Big).
282,Olympic Salcoti Elachi Cookies-80gm,196,Product name: Olympic Salcoti Elachi Cookies-80gm.
283,Knorr Chicken Hot & Sour Soup- 28g,196,Product name: Knorr Chicken Hot & Sour Soup- 28g.
284,Mr. White Detergent Powder- 2kg,195,Product name: Mr. White Detergent Powder- 2kg.
285,Prince Egg Noodles 300gm,195,Product name: Prince Egg Noodles 300gm.
286,Laita Shutki-200g,193,Product name: Laita Shutki-200g.
287,Banana Mocha-Pc,193,Product name: Banana Mocha-Pc.
288,Prince Vinegar(600ml),193,Product name: Prince Vinegar(600ml).
289,Fram Fresh Sour Curd(Yogh.) 500gm,193,Product name: Fram Fresh Sour Curd(Yogh.) 500gm.
290,Prince Borhani-2Ltr,193,Product name: Prince Borhani-2Ltr.
291,Green Mango(kg),192,Product name: Green Mango(kg).
292,Maggi Masala Noodles Family Pack-992gm,191,Product name: Maggi Masala Noodles Family Pack-992gm.
293,B Toilet Tissue Extra Saving Pack 4Rolls,191,Product name: B Toilet Tissue Extra Saving Pack 4Rolls.
294,Yeast-100gm,191,Product name: Yeast-100gm.
295,Radhuni Chatpati Masala 50Gm,191,Product name: Radhuni Chatpati Masala 50Gm.
296,Freedom Heavy Flow Wings-16pads,191,Product name: Freedom Heavy Flow Wings-16pads.
297,Farm Fresh Pasteurized Milk-1L,190,Product name: Farm Fresh Pasteurized Milk-1L.
298,Chicken Nuggets-250g (Box & Poly),190,Product name: Chicken Nuggets-250g (Box & Poly).
299,Alu Bukhra-200gm,190,Product name: Alu Bukhra-200gm.
300,Cocola Egg & Chicken Noodles - 500gn,190,Product name: Cocola Egg & Chicken Noodles - 500gn.
301,Prince Fruits Cake(B),188,Product name: Prince Fruits Cake(B).
302,Chicken Sausage-350gm,188,Product name: Chicken Sausage-350gm.
303,Brooke Bond Taaza Tea- 400gm,188,Product name: Brooke Bond Taaza Tea- 400gm.
304,CP Chicken Hot Sausage- 400g,188,Product name: CP Chicken Hot Sausage- 400g.
305,Mixed Masalla-100gm,188,Product name: Mixed Masalla-100gm.
306,Grape Black,187,Product name: Grape Black.
307,Jhok Mok Dish Wash Bar 100g B3 G1,187,Product name: Jhok Mok Dish Wash Bar 100g B3 G1.
308,GH Chicken Nuggets-300gm,187,Product name: GH Chicken Nuggets-300gm.
309,Rupchanda(Big)-(THR),187,Product name: Rupchanda(Big)-(THR).
310,Arla Dano Daily Pushti-500gm,187,Product name: Arla Dano Daily Pushti-500gm.
311,Prince Vinegar-400ml,186,Product name: Prince Vinegar-400ml.
312,Teer Soya Oil 2Lt(Bottle),185,Product name: Teer Soya Oil 2Lt(Bottle).
313,Nag Fruits-kg,185,Product name: Nag Fruits-kg.
314,Shrimp Fish Golda(Medium)-(STR),185,Product name: Shrimp Fish Golda(Medium)-(STR).
315,China Foam Majuni (4/23),184,Product name: China Foam Majuni (4/23).
316,Pandan Kaya Bread- 225g,184,Product name: Pandan Kaya Bread- 225g.
317,Nut Meg 50g(Joy Fall),184,Product name: Nut Meg 50g(Joy Fall).
318,Aquafina Drinking Water- 500ml,183,Product name: Aquafina Drinking Water- 500ml.
319,Pigeon-1PC,183,Product name: Pigeon-1PC.
320,Chicken Meat Ball-250gm,183,Product name: Chicken Meat Ball-250gm.
321,Telapia Fish Big (THR),183,Product name: Telapia Fish Big (THR).
322,CBL Munchee Stix Choc.Wafer,183,Product name: CBL Munchee Stix Choc.Wafer.
323,F Clarks Ess 28ml(Vanilla),183,Product name: F Clarks Ess 28ml(Vanilla).
324,Radhuni Vermicili Semai -200g,182,Product name: Radhuni Vermicili Semai -200g.
325,Cardmom-100gm(Alachi),181,Product name: Cardmom-100gm(Alachi).
326,Katol Fish (Small)-(MNK),181,Product name: Katol Fish (Small)-(MNK).
327,Odonil Air Freshner-50g Combo (40 OFF),181,Product name: Odonil Air Freshner-50g Combo (40 OFF).
328,GH Chicken Sausage-340gm,180,Product name: GH Chicken Sausage-340gm.
329,Chola Pulse-1kg,180,Product name: Chola Pulse-1kg.
330,Dust Black Pepper(Chili)-50g,180,Product name: Dust Black Pepper(Chili)-50g.
331,Sensodyne Toothbrush (Buy 2 Get 1),180,Product name: Sensodyne Toothbrush (Buy 2 Get 1).
332,Danish Florida Orange Biscuits-70g,180,Product name: Danish Florida Orange Biscuits-70g.
333,Bashu Facial Tissue 240Sheet,178,Product name: Bashu Facial Tissue 240Sheet.
334,Radhuni Mustard Oil-500ml,178,Product name: Radhuni Mustard Oil-500ml.
335,Radhuni Spice Coriander-200g,177,Product name: Radhuni Spice Coriander-200g.
336,Mr. Noodles Korean S Spicy- 248gm,177,Product name: Mr. Noodles Korean S Spicy- 248gm.
337,Sajeeb Kolson Vermicelli Semai (B2G1),177,Product name: Sajeeb Kolson Vermicelli Semai (B2G1).
338,Coke Org /250 ml,177,Product name: Coke Org /250 ml.
339,Quality Plain Paratha 10Pcs-600gm,176,Product name: Quality Plain Paratha 10Pcs-600gm.
340,Chicken Samosa-250gm,176,Product name: Chicken Samosa-250gm.
341,Topashi Fish-(MNK),175,Product name: Topashi Fish-(MNK).
342,China Spoon 6pcs Set(05/23),175,Product name: China Spoon 6pcs Set(05/23).
343,Chicken Spring Roll - 250gm,175,Product name: Chicken Spring Roll - 250gm.
344,Teer Maida-2kg,175,Product name: Teer Maida-2kg.
345,Madina VIP Morium Dates-500gm,174,Product name: Madina VIP Morium Dates-500gm.
346,Bakemans Choco Mate-100gm,173,Product name: Bakemans Choco Mate-100gm.
347,Good Life Mozarella Cheese-370gm,172,Product name: Good Life Mozarella Cheese-370gm.
348,Surf Excel With Aloe Vera wash-500g,172,Product name: Surf Excel With Aloe Vera wash-500g.
349,Aarong Ghee 200g,172,Product name: Aarong Ghee 200g.
